DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 30 ,May,5,1999,ACCIDENTAL DAMAGE,£153
 31 ,May,5,1999,WINDSTORM,£323
 31 ,May,5,1999,ESCAPE OF WATER,£51
 31 ,May,5,1999,ESCAPE OF WATER,£308
 31 ,May,5,1999,WINDSTORM,£480
 31 ,May,5,1999,ESCAPE OF WATER,£0
 31 ,May,5,1999,ACCIDENTAL DAMAGE,"£1,045"
 31 ,May,5,1999,WINDSTORM,£28
 1 ,June,6,1999,ACCIDENTAL DAMAGE,£97
 1 ,June,6,1999,WINDSTORM,£0
 1 ,June,6,1999,FIRE,£512
 1 ,June,6,1999,THEFT,£371
 1 ,June,6,1999,WINDSTORM,"£1,193"
 1 ,June,6,1999,ACCIDENTAL DAMAGE,£129
 1 ,June,6,1999,ESCAPE OF WATER,£819
 1 ,June,6,1999,WINDSTORM,£0
 1 ,June,6,1999,ESCAPE OF WATER,£100
 1 ,June,6,1999,ESCAPE OF WATER,£0
 1 ,June,6,1999,ESCAPE OF WATER,£0
 1 ,June,6,1999,WINDSTORM,£350
 1 ,June,6,1999,WINDSTORM,£150
 1 ,June,6,1999,ACCIDENTAL DAMAGE,£237
 1 ,June,6,1999,ACCIDENTAL DAMAGE,£212
 1 ,June,6,1999,ACCIDENTAL DAMAGE,£365
 1 ,June,6,1999,ESCAPE OF WATER,£625
